
Running FIFO Algorithm Simulation
Time	Process	Page	Result	Evicted
2.1	R	2	HIT	-
2.1	F	8	MISS	-
2.1	B	1	MISS	-
2.1	Z	30	MISS	-
2.1	I	7	MISS	-
2.2	M	15	HIT	-
2.2	P	0	HIT	-
2.2	C	1	HIT	-
2.2	G	13	MISS	-
2.2	R	2	HIT	-
2.2	F	15	MISS	-
2.2	B	4	MISS	-
2.2	Z	24	MISS	-
2.2	I	8	MISS	-
2.3	M	17	MISS	-
2.3	P	0	HIT	-
2.3	C	6	HIT	-
2.3	G	13	HIT	-
2.3	R	1	MISS	-
2.3	F	15	HIT	-
2.3	B	4	HIT	-
2.3	Z	23	MISS	-
2.3	I	7	HIT	-
2.4	M	11	MISS	-
2.4	P	1	HIT	-
2.4	C	3	MISS	-
2.4	G	13	HIT	-
2.4	R	2	HIT	-
2.4	F	15	HIT	-
2.4	B	3	MISS	-
2.4	Z	6	MISS	-
2.4	I	6	MISS	-
2.5	M	10	HIT	-
2.5	P	0	HIT	-
2.5	C	3	HIT	-
2.5	G	13	HIT	-
2.5	R	0	HIT	-
2.5	F	17	MISS	-
2.5	B	2	MISS	-
2.5	Z	5	MISS	-
2.5	I	5	MISS	-
2.6	M	10	HIT	-
2.6	P	3	HIT	-
2.6	C	5	MISS	-
2.6	G	30	HIT	-
2.6	R	2	HIT	-
2.6	F	10	MISS	-
2.6	B	1	HIT	-
2.6	Z	4	MISS	-
2.6	I	5	HIT	-
2.7	M	10	HIT	-
2.7	P	3	HIT	-
2.7	C	9	HIT	-
2.7	G	29	MISS	-
2.7	R	3	MISS	-
2.7	F	9	MISS	-
2.7	B	0	HIT	-
2.7	Z	5	HIT	-
2.7	I	5	HIT	-
2.8	M	11	HIT	-
2.8	P	1	HIT	-
2.8	C	8	HIT	-
2.8	G	30	HIT	-
2.8	R	3	HIT	-
2.8	F	9	HIT	-
2.8	B	4	HIT	-
2.8	Z	10	MISS	-
2.8	I	4	MISS	-
2.9	M	12	MISS	-
2.9	P	3	HIT	-
2.9	C	9	HIT	-
2.9	G	29	HIT	-
2.9	R	4	HIT	-
2.9	F	29	MISS	-
2.9	B	0	HIT	-
2.9	Z	19	MISS	-
2.9	I	5	HIT	-
3.0	R	Enter	31	4	<MMMMMMMMMMPCGRFMGFPCRPCFPPGFMGRFCCCFMCFBZIFZIFBZIGFBZIMRZMCBZIFBZICFZGRFZIMFZ.......................>

3.0	R	0	HIT	-
3.0	D	Enter	11	3	<MMMMMMMMMMPCGRFMGFPCRPCFPPGFMGRFCCCFMCFBZIFZIFBZIGFBZIMRZMCBZIFBZICFZGRFZIMFZ.......................>

3.0	D	0	MISS	-
3.0	M	21	HIT	-
3.0	P	4	HIT	-
3.0	C	9	HIT	-
3.0	G	11	HIT	-
3.0	R	0	HIT	-
3.0	B	3	HIT	-
3.0	Z	7	MISS	-
3.0	I	5	HIT	-
3.0	R	4	HIT	-
3.0	D	1	MISS	-

3.0	F	Exit	31	2	<MMMMMMMMMMPCGRFMGFPCRPCFPPGFMGRFCCCFMCFBZIFZIFBZIGFBZIMRZMCBZIFBZICFZGRFZIMFZDZD....................>
3.1	M	22	HIT	-
3.1	P	3	HIT	-
3.1	C	8	HIT	-
3.1	G	10	HIT	-
3.1	R	4	HIT	-
3.1	B	4	HIT	-
3.1	Z	7	HIT	-
3.1	I	3	MISS	-
3.1	R	4	HIT	-
3.1	D	1	HIT	-
3.2	M	22	HIT	-
3.2	P	4	HIT	-
3.2	C	8	HIT	-
3.2	G	10	HIT	-
3.2	R	0	HIT	-
3.2	B	3	HIT	-
3.2	Z	7	HIT	-
3.2	I	2	MISS	-
3.2	R	3	HIT	-
3.2	D	2	MISS	-
3.3	M	21	HIT	-
3.3	P	3	HIT	-
3.3	C	7	MISS	-
3.3	G	11	HIT	-
3.3	R	1	HIT	-
3.3	B	2	HIT	-
3.3	Z	6	HIT	-
3.3	I	3	HIT	-
3.3	R	24	MISS	-
3.3	D	3	MISS	-
3.4	M	3	MISS	-
3.4	P	2	HIT	-
3.4	C	9	HIT	-
3.4	G	11	HIT	-
3.4	R	1	HIT	-
3.4	B	4	HIT	-
3.4	Z	6	HIT	-
3.4	I	4	HIT	-
3.4	R	23	MISS	-
3.4	D	8	MISS	-
3.5	M	3	HIT	-
3.5	P	0	HIT	-
3.5	C	10	HIT	-
3.5	G	11	HIT	-
3.5	R	2	HIT	-
3.5	B	3	HIT	-
3.5	Z	24	HIT	-
3.5	I	5	HIT	-
3.5	R	22	MISS	-
3.5	D	9	MISS	-
3.6	M	4	HIT	-
3.6	P	4	HIT	-
3.6	C	9	HIT	-
3.6	G	10	HIT	-
3.6	R	4	HIT	-
3.6	B	3	HIT	-
3.6	Z	30	HIT	-
3.6	I	5	HIT	-
3.6	R	21	MISS	-
3.6	D	3	HIT	-
3.7	M	22	HIT	-
3.7	P	3	HIT	-
3.7	C	2	HIT	-
3.7	G	8	MISS	-
3.7	R	0	HIT	-
3.7	B	1	HIT	-
3.7	Z	7	HIT	-
3.7	I	6	HIT	-
3.7	R	22	HIT	-
3.7	D	2	HIT	-
3.8	M	26	MISS	-
3.8	P	1	HIT	-
3.8	C	1	HIT	-
3.8	G	7	MISS	-
3.8	R	1	HIT	-
3.8	B	2	HIT	-
3.8	Z	9	MISS	-
3.8	I	5	HIT	-
3.8	R	4	HIT	-
3.8	D	5	MISS	-
3.9	M	26	HIT	-
3.9	P	0	HIT	-
3.9	C	1	HIT	-
3.9	G	24	MISS	-
3.9	R	2	HIT	-
3.9	B	0	HIT	-
3.9	Z	8	MISS	-
3.9	I	6	HIT	-
3.9	R	26	MISS	-
3.9	D	6	MISS	-
4.0	G	25	MISS	-
4.0	R	4	HIT	-
4.0	B	0	HIT	-
4.0	Z	7	HIT	-
4.0	R	6	MISS	-
4.0	D	5	HIT	-

4.0	M	Exit	31	4	<DGRMMMMMMMPCGR.MG.PCRPC.PPG.MGR.CCC.MC.BZI.ZI.BZIG.BZIMRZMCBZI.BZIC.ZGR.ZIM.ZDZDIIDCRDMRDRDRGMGZDGZR>

4.0	P	Exit	5	3	<DGR.......PCGR..G.PCRPC.PPG..GR.CCC..C.BZI.ZI.BZIG.BZI.RZ.CBZI.BZIC.ZGR.ZI..ZDZDIIDCRD.RDRDRG.GZDGZR>

4.0	C	Exit	11	3	<DGR........CGR..G..CR.C...G..GR.CCC..C.BZI.ZI.BZIG.BZI.RZ.CBZI.BZIC.ZGR.ZI..ZDZDIIDCRD.RDRDRG.GZDGZR>

4.0	I	Exit	17	2	<DGR.........GR..G...R.....G..GR........BZI.ZI.BZIG.BZI.RZ..BZI.BZI..ZGR.ZI..ZDZDIID.RD.RDRDRG.GZDGZR>
4.1	G	4	MISS	-
4.1	R	0	HIT	-
4.1	B	0	HIT	-
4.1	Z	6	HIT	-
4.1	R	5	MISS	-
4.1	D	10	MISS	-
4.2	G	5	MISS	-
4.2	R	4	HIT	-
4.2	B	0	HIT	-
4.2	Z	6	HIT	-
4.2	R	6	HIT	-
4.2	D	10	HIT	-
4.3	G	5	HIT	-
4.3	R	2	HIT	-
4.3	B	4	HIT	-
4.3	Z	28	MISS	-
4.3	R	5	HIT	-
4.3	D	9	HIT	-
4.4	G	4	HIT	-
4.4	R	1	HIT	-
4.4	B	4	HIT	-
4.4	Z	27	MISS	-
4.4	R	4	HIT	-
4.4	D	9	HIT	-
4.5	G	30	HIT	-
4.5	R	4	HIT	-
4.5	B	3	HIT	-
4.5	Z	27	HIT	-
4.5	R	3	HIT	-
4.5	D	10	HIT	-
4.6	G	26	MISS	-
4.6	R	3	HIT	-
4.6	B	3	HIT	-
4.6	Z	26	MISS	-
4.6	R	19	MISS	-
4.6	D	0	HIT	-
4.7	G	0	HIT	-
4.7	R	2	HIT	-
4.7	B	1	HIT	-
4.7	Z	27	HIT	-
4.7	R	20	MISS	-
4.7	D	10	HIT	-
4.8	G	0	MISS	-
4.8	R	2	HIT	-
4.8	B	3	HIT	-
4.8	Z	28	HIT	-
4.8	R	20	HIT	-
4.8	D	0	HIT	-
4.9	G	1	MISS	-
4.9	R	0	MISS	-
4.9	B	4	HIT	-
4.9	Z	28	HIT	-
4.9	R	4	HIT	-
4.9	D	1	HIT	-
5.0	R	4	HIT	-
5.0	R	5	HIT	-
5.0	D	1	HIT	-

5.0	G	Exit	31	4	<DGRGRDGZZGZRRGGRG...R.....G..GR........BZ..Z..BZ.G.BZ..RZ..BZ..BZ...ZGR.Z...ZDZD..D.RD.RDRDRG.GZDGZR>

5.0	B	Exit	5	3	<D.R.RD.ZZ.ZRR..R....R.........R........BZ..Z..BZ...BZ..RZ..BZ..BZ...Z.R.Z...ZDZD..D.RD.RDRDR...ZD.ZR>

5.0	Z	Exit	31	3	<D.R.RD.ZZ.ZRR..R....R.........R.........Z..Z...Z....Z..RZ...Z...Z...Z.R.Z...ZDZD..D.RD.RDRDR...ZD.ZR>
5.1	R	0	HIT	-
5.1	R	6	HIT	-
5.1	D	3	HIT	-
5.2	R	4	HIT	-
5.2	R	6	HIT	-
5.2	D	3	HIT	-
5.3	R	3	HIT	-
5.3	R	7	MISS	-
5.3	D	2	HIT	-
5.4	R	3	HIT	-
5.4	R	8	MISS	-
5.4	D	3	HIT	-
5.5	R	2	HIT	-
5.5	R	8	HIT	-
5.5	D	4	MISS	-
5.6	R	2	HIT	-
5.6	R	26	HIT	-
5.6	D	4	HIT	-
5.7	R	1	HIT	-
5.7	R	17	MISS	-
5.7	D	9	HIT	-
5.8	R	2	HIT	-
5.8	R	15	MISS	-
5.8	D	7	MISS	-
5.9	R	2	HIT	-
5.9	R	17	HIT	-
5.9	D	5	HIT	-
6.0	R	16	MISS	-

6.0	R	Exit	5	5	<DRRRRDDRRDRRR..R....R.........R........................R..............R......D.D..D.RD.RDRDR....D..R>

6.0	D	Exit	11	3	<D....DD..D...................................................................D.D..D..D..D.D.....D...>
6.1	R	15	MISS	-
6.2	R	14	MISS	-
6.3	R	13	MISS	-
6.4	R	13	HIT	-
6.5	R	14	HIT	-
6.6	R	21	MISS	-
6.7	R	20	MISS	-
6.8	R	19	MISS	-
6.9	R	20	HIT	-

7.0	R	Exit	31	4	<RRRRRR..............................................................................................>

Simulation Results:
Total References: 371
Hits: 242, Misses: 129
Hit Ratio: 0.65, Miss Ratio: 0.35
Processes Swapped In: 11

Running FIFO Algorithm Simulation
Time	Process	Page	Result	Evicted
----	-------	----	------	-------
0.0	M	Enter	31	4	<....................................................................................................>

0.0	M	0	MISS	-
0.0	M	27	MISS	-
0.1	M	28	MISS	-
0.2	M	27	HIT	-
0.3	M	28	HIT	-
0.4	M	12	MISS	-
0.5	M	15	MISS	-
0.6	M	14	MISS	-
0.7	M	14	HIT	-
0.8	M	14	HIT	-
0.9	M	28	HIT	-
1.0	P	Enter	5	3	<MMMMMM..............................................................................................>

1.0	P	0	MISS	-
1.0	C	Enter	11	3	<MMMMMMP.............................................................................................>

1.0	C	0	MISS	-
1.0	G	Enter	31	4	<MMMMMMPC............................................................................................>

1.0	G	0	MISS	-
1.0	R	Enter	5	5	<MMMMMMPCG...........................................................................................>

1.0	R	0	MISS	-
1.0	F	Enter	31	2	<MMMMMMPCGR..........................................................................................>

1.0	F	0	MISS	-
1.0	M	28	HIT	-
1.0	P	3	MISS	-
1.0	C	1	MISS	-
1.0	G	1	MISS	-
1.0	R	4	MISS	-
1.0	F	29	MISS	-
1.1	M	29	MISS	-
1.1	P	2	MISS	-
1.1	C	1	HIT	-
1.1	G	0	HIT	-
1.1	R	0	HIT	-
1.1	F	28	MISS	-
1.2	M	28	HIT	-
1.2	P	4	MISS	-
1.2	C	5	MISS	-
1.2	G	30	MISS	-
1.2	R	1	MISS	-
1.2	F	4	MISS	-
1.3	M	28	HIT	-
1.3	P	0	HIT	-
1.3	C	6	MISS	-
1.3	G	19	MISS	-
1.3	R	0	HIT	-
1.3	F	10	MISS	-
1.4	M	15	HIT	-
1.4	P	1	MISS	-
1.4	C	10	MISS	-
1.4	G	18	MISS	-
1.4	R	0	HIT	-
1.4	F	10	HIT	-
1.5	M	16	MISS	-
1.5	P	3	HIT	-
1.5	C	0	HIT	-
1.5	G	18	HIT	-
1.5	R	0	HIT	-
1.5	F	9	MISS	-
1.6	M	16	HIT	-
1.6	P	2	HIT	-
1.6	C	7	MISS	-
1.6	G	25	MISS	-
1.6	R	4	HIT	-
1.6	F	10	HIT	-
1.7	M	15	HIT	-
1.7	P	1	HIT	-
1.7	C	6	HIT	-
1.7	G	25	HIT	-
1.7	R	4	HIT	-
1.7	F	18	MISS	-
1.8	M	28	HIT	-
1.8	P	4	HIT	-
1.8	C	6	HIT	-
1.8	G	24	MISS	-
1.8	R	0	HIT	-
1.8	F	19	MISS	-
1.9	M	28	HIT	-
1.9	P	4	HIT	-
1.9	C	5	HIT	-
1.9	G	9	MISS	-
1.9	R	0	HIT	-
1.9	F	19	HIT	-
2.0	B	Enter	5	3	<MMMMMMPCGRFPCGRFMPFPCGRFCGFPCGMFCGFGFG..............................................................>

2.0	B	0	MISS	-
2.0	Z	Enter	31	3	<MMMMMMPCGRFPCGRFMPFPCGRFCGFPCGMFCGFGFGB.............................................................>

2.0	Z	0	MISS	-
2.0	I	Enter	17	2	<MMMMMMPCGRFPCGRFMPFPCGRFCGFPCGMFCGFGFGBZ............................................................>

2.0	I	0	MISS	-
2.0	M	6	MISS	-
2.0	P	2	HIT	-
2.0	C	2	MISS	-
2.0	G	10	MISS	-
2.0	R	1	HIT	-
2.0	F	19	HIT	-
2.0	B	3	MISS	-
2.0	Z	27	MISS	-
2.0	I	6	MISS	-
2.1	M	5	MISS	-
2.1	P	2	HIT	-
2.1	C	3	MISS	-
2.1	G	11	MISS	-
2.1	R	2	MISS	-
2.1	F	21	MISS	-
2.1	B	1	MISS	-
2.1	Z	28	MISS	-
2.1	I	7	MISS	-
2.2	M	4	MISS	-
2.2	P	1	HIT	-
2.2	C	4	MISS	-
2.2	G	11	HIT	-
2.2	R	0	HIT	-
2.2	F	29	HIT	-
2.2	B	3	HIT	-
2.2	Z	27	HIT	-
2.2	I	7	HIT	-
2.3	M	3	MISS	-
2.3	P	3	HIT	-
2.3	C	5	HIT	-
2.3	G	12	MISS	-
2.3	R	1	HIT	-
2.3	F	29	HIT	-
2.3	B	3	HIT	-
2.3	Z	26	MISS	-
2.3	I	2	MISS	-
2.4	M	30	MISS	-
2.4	P	1	HIT	-
2.4	C	5	HIT	-
2.4	G	12	HIT	-
2.4	R	1	HIT	-
2.4	F	12	MISS	-
2.4	B	4	MISS	-
2.4	Z	27	HIT	-
2.4	I	3	MISS	-
2.5	M	0	HIT	-
2.5	P	0	HIT	-
2.5	C	5	HIT	-
2.5	G	0	HIT	-
2.5	R	3	MISS	-
2.5	F	11	MISS	-
2.5	B	0	HIT	-
2.5	Z	26	HIT	-
2.5	I	2	HIT	-
2.6	M	0	HIT	-
2.6	P	1	HIT	-
2.6	C	5	HIT	-
2.6	G	30	HIT	-
2.6	R	3	HIT	-
2.6	F	11	HIT	-
2.6	B	1	HIT	-
2.6	Z	25	MISS	-
2.6	I	3	HIT	-
2.7	M	7	MISS	-
2.7	P	1	HIT	-
2.7	C	10	HIT	-
2.7	G	29	MISS	-
2.7	R	2	HIT	-
2.7	F	15	MISS	-
2.7	B	3	HIT	-
2.7	Z	25	HIT	-
2.7	I	8	MISS	-
2.8	M	8	MISS	-
2.8	P	3	HIT	-
2.8	C	1	HIT	-
2.8	G	28	MISS	-
2.8	R	2	HIT	-
2.8	F	10	HIT	-
2.8	B	4	HIT	-
2.8	Z	30	MISS	-
2.8	I	8	HIT	-
2.9	M	7	HIT	-
2.9	P	3	HIT	-
2.9	C	9	MISS	-
2.9	G	12	HIT	-
2.9	R	2	HIT	-
2.9	F	27	MISS	-
2.9	B	3	HIT	-
2.9	Z	29	MISS	-
2.9	I	6	HIT	-
3.0	R	Enter	31	4	<MMMMMMPCGRFPCGRFMPFPCGRFCGFPCGMFCGFGFGBZIMCGBZIMCGRFBZIMCMGZIMFBIRFZMGFIMGZCFZ......................>

3.0	R	0	HIT	-
3.0	D	Enter	11	3	<MMMMMMPCGRFPCGRFMPFPCGRFCGFPCGMFCGFGFGBZIMCGBZIMCGRFBZIMCMGZIMFBIRFZMGFIMGZCFZ......................>

3.0	D	0	MISS	-
3.0	M	7	HIT	-
3.0	P	0	HIT	-
3.0	C	1	HIT	-
3.0	G	23	MISS	-
3.0	R	4	HIT	-
3.0	B	1	HIT	-
3.0	Z	28	HIT	-
3.0	I	6	HIT	-
3.0	R	20	MISS	-
3.0	D	6	MISS	-

3.0	F	Exit	31	2	<MMMMMMPCGRFPCGRFMPFPCGRFCGFPCGMFCGFGFGBZIMCGBZIMCGRFBZIMCMGZIMFBIRFZMGFIMGZCFZDGRD..................>
3.1	M	8	HIT	-
3.1	P	0	HIT	-
3.1	C	5	HIT	-
3.1	G	24	HIT	-
3.1	R	0	HIT	-
3.1	B	0	HIT	-
3.1	Z	11	MISS	-
3.1	I	4	MISS	-
3.1	R	20	HIT	-
3.1	D	6	HIT	-
3.2	M	8	HIT	-
3.2	P	4	HIT	-
3.2	C	4	HIT	-
3.2	G	23	HIT	-
3.2	R	1	HIT	-
3.2	B	4	HIT	-
3.2	Z	13	MISS	-
3.2	I	4	HIT	-
3.2	R	19	MISS	-
3.2	D	5	MISS	-
3.3	M	5	HIT	-
3.3	P	2	HIT	-
3.3	C	5	HIT	-
3.3	G	23	HIT	-
3.3	R	0	HIT	-
3.3	B	3	HIT	-
3.3	Z	12	MISS	-
3.3	I	3	HIT	-
3.3	R	20	HIT	-
3.3	D	6	HIT	-
3.4	M	6	HIT	-
3.4	P	2	HIT	-
3.4	C	4	HIT	-
3.4	G	3	MISS	-
3.4	R	1	HIT	-
3.4	B	1	HIT	-
3.4	Z	22	MISS	-
3.4	I	2	HIT	-
3.4	R	5	MISS	-
3.4	D	5	HIT	-
3.5	M	7	HIT	-
3.5	P	3	HIT	-
3.5	C	3	HIT	-
3.5	G	4	MISS	-
3.5	R	1	HIT	-
3.5	B	2	MISS	-
3.5	Z	22	HIT	-
3.5	I	1	MISS	-
3.5	R	5	HIT	-
3.5	D	6	HIT	-
3.6	M	6	HIT	-
3.6	P	3	HIT	-
3.6	C	2	HIT	-
3.6	G	5	MISS	-
3.6	R	2	HIT	-
3.6	B	2	HIT	-
3.6	Z	21	MISS	-
3.6	I	2	HIT	-
3.6	R	5	HIT	-
3.6	D	5	HIT	-
3.7	M	7	HIT	-
3.7	P	0	HIT	-
3.7	C	2	HIT	-
3.7	G	1	HIT	-
3.7	R	3	HIT	-
3.7	B	1	HIT	-
3.7	Z	3	MISS	-
3.7	I	1	HIT	-
3.7	R	5	HIT	-
3.7	D	9	MISS	-
3.8	M	6	HIT	-
3.8	P	2	HIT	-
3.8	C	8	MISS	-
3.8	G	1	HIT	-
3.8	R	3	HIT	-
3.8	B	2	HIT	-
3.8	Z	2	MISS	-
3.8	I	1	HIT	-
3.8	R	6	MISS	-
3.8	D	9	HIT	-
3.9	M	6	HIT	-
3.9	P	3	HIT	-
3.9	C	8	HIT	-
3.9	G	16	MISS	-
3.9	R	4	HIT	-
3.9	B	1	HIT	-
3.9	Z	1	MISS	-
3.9	I	0	HIT	-
3.9	R	11	MISS	-
3.9	D	10	MISS	-
4.0	G	15	MISS	-
4.0	R	3	HIT	-
4.0	B	3	HIT	-
4.0	Z	1	HIT	-
4.0	R	10	MISS	-
4.0	D	2	MISS	-

4.0	M	Exit	31	4	<RGZRDGRDGR.PCGR.MP.PCGR.CG.PCGM.CG.G.GBZIMCGBZIMCGR.BZIMCMGZIM.BIR.ZMG.IMGZC.ZDGRDZIZRDZGZRGBIGZZDCZ>

4.0	P	Exit	5	3	<RGZRDGRDGR.PCGR..P.PCGR.CG.PCG..CG.G.GBZI.CGBZI.CGR.BZI.C.GZI..BIR.Z.G.I.GZC.ZDGRDZIZRDZGZRGBIGZZDCZ>

4.0	C	Exit	11	3	<RGZRDGRDGR..CGR.....CGR.CG..CG..CG.G.GBZI.CGBZI.CGR.BZI.C.GZI..BIR.Z.G.I.GZC.ZDGRDZIZRDZGZRGBIGZZDCZ>

4.0	I	Exit	17	2	<RGZRDGRDGR...GR......GR..G...G...G.G.GBZI..GBZI..GR.BZI...GZI..BIR.Z.G.I.GZ..ZDGRDZIZRDZGZRGBIGZZD.Z>
4.1	G	15	HIT	-
4.1	R	3	HIT	-
4.1	B	4	HIT	-
4.1	Z	2	HIT	-
4.1	R	11	HIT	-
4.1	D	8	MISS	-
4.2	G	14	MISS	-
4.2	R	0	MISS	-
4.2	B	1	HIT	-
4.2	Z	8	MISS	-
4.2	R	15	MISS	-
4.2	D	8	HIT	-
4.3	G	14	HIT	-
4.3	R	4	HIT	-
4.3	B	1	HIT	-
4.3	Z	7	MISS	-
4.3	R	16	MISS	-
4.3	D	8	HIT	-
4.4	G	13	MISS	-
4.4	R	0	HIT	-
4.4	B	0	HIT	-
4.4	Z	1	HIT	-
4.4	R	17	MISS	-
4.4	D	4	MISS	-
4.5	G	14	HIT	-
4.5	R	4	MISS	-
4.5	B	4	HIT	-
4.5	Z	13	HIT	-
4.5	R	16	HIT	-
4.5	D	0	HIT	-
4.6	G	15	HIT	-
4.6	R	4	HIT	-
4.6	B	4	HIT	-
4.6	Z	15	MISS	-
4.6	R	16	HIT	-
4.6	D	7	MISS	-
4.7	G	16	HIT	-
4.7	R	4	HIT	-
4.7	B	0	HIT	-
4.7	Z	15	HIT	-
4.7	R	17	HIT	-
4.7	D	8	HIT	-
4.8	G	17	MISS	-
4.8	R	1	HIT	-
4.8	B	0	HIT	-
4.8	Z	7	HIT	-
4.8	R	18	MISS	-
4.8	D	6	HIT	-
4.9	G	16	HIT	-
4.9	R	3	HIT	-
4.9	B	4	HIT	-
4.9	Z	8	HIT	-
4.9	R	19	HIT	-
4.9	D	5	HIT	-
5.0	R	4	HIT	-
5.0	R	20	HIT	-
5.0	D	4	HIT	-

5.0	G	Exit	31	4	<RGZRDGRDDGRZRZRGRDRZDGR..G...G...G.G.GBZ...GBZ...GR.BZ....GZ...B.R.Z.G...GZ..ZDGRDZ.ZRDZGZRGB.GZZD.Z>

5.0	B	Exit	5	3	<R.ZRD.RDD.RZRZR.RDRZD.R...............BZ....BZ....R.BZ.....Z...B.R.Z......Z..ZD.RDZ.ZRDZ.ZR.B..ZZD.Z>

5.0	Z	Exit	31	3	<R.ZRD.RDD.RZRZR.RDRZD.R................Z.....Z....R..Z.....Z.....R.Z......Z..ZD.RDZ.ZRDZ.ZR....ZZD.Z>
5.1	R	4	HIT	-
5.1	R	30	MISS	-
5.1	D	1	MISS	-
5.2	R	4	HIT	-
5.2	R	29	MISS	-
5.2	D	0	HIT	-
5.3	R	1	MISS	-
5.3	R	30	HIT	-
5.3	D	2	HIT	-
5.4	R	2	HIT	-
5.4	R	6	HIT	-
5.4	D	2	HIT	-
5.5	R	0	HIT	-
5.5	R	20	HIT	-
5.5	D	3	MISS	-
5.6	R	0	HIT	-
5.6	R	20	HIT	-
5.6	D	4	HIT	-
5.7	R	0	HIT	-
5.7	R	21	MISS	-
5.7	D	10	HIT	-
5.8	R	1	HIT	-
5.8	R	21	HIT	-
5.8	D	9	HIT	-
5.9	R	2	HIT	-
5.9	R	22	MISS	-
5.9	D	9	HIT	-
6.0	R	23	MISS	-

6.0	R	Exit	5	5	<RRDRDRRDDRRDRRRRRDRRD.R...........................R..............R............D.RD...RD...R......D..>

6.0	D	Exit	11	3	<..D.D..DD..D.....D..D.........................................................D..D....D..........D..>
6.1	R	22	MISS	-
6.2	R	23	MISS	-
6.3	R	24	MISS	-
6.4	R	23	HIT	-
6.5	R	24	HIT	-
6.6	R	28	MISS	-
6.7	R	29	MISS	-
6.8	R	30	MISS	-
6.9	R	29	HIT	-

7.0	R	Exit	31	4	<RRRRRR..............................................................................................>

Simulation Results:
Total References: 371
Hits: 234, Misses: 137
Hit Ratio: 0.63, Miss Ratio: 0.37
Processes Swapped In: 11

Running FIFO Algorithm Simulation
Time	Process	Page	Result	Evicted
----	-------	----	------	-------
0.0	M	Enter	31	4	<....................................................................................................>

0.0	M	0	MISS	-
0.0	M	5	MISS	-
0.1	M	6	MISS	-
0.2	M	7	MISS	-
