
Running MFU Algorithm Simulation
Time	Process	Page	Result	Evicted
3.5	V	2	HIT	-
3.5	A	15	MISS	-
3.5	M	1	HIT	-
3.5	K	2	MISS	-
3.6	Y	15	HIT	-
3.6	V	1	HIT	-
3.6	A	14	MISS	-
3.6	M	1	HIT	-
3.6	K	3	MISS	-
3.7	Y	15	HIT	-
3.7	V	0	HIT	-
3.7	A	3	MISS	-
3.7	M	4	HIT	-
3.7	K	3	HIT	-
3.8	Y	9	HIT	-
3.8	V	0	HIT	-
3.8	A	14	HIT	-
3.8	M	4	HIT	-
3.8	K	2	HIT	-
3.9	Y	5	HIT	-
3.9	V	1	HIT	-
3.9	A	15	HIT	-
3.9	M	0	HIT	-
3.9	K	15	HIT	-
4.0	B	Enter	11	1	<.Y.....Y.Y....Y..Y.Y.....Y.......Y..Y.Y.Y.Y....Y....V..VV.AMKVKYVAMKMKAKAKA.........................>

4.0	B	0	MISS	-
4.0	E	Enter	11	4	<.Y.....Y.Y....Y..Y.Y.....Y.......Y..Y.Y.Y.Y....Y....V..VV.AMKVKYVAMKMKAKAKAB........................>

4.0	E	0	MISS	-
4.0	R	Enter	5	1	<.Y.....Y.Y....Y..Y.Y.....Y.......Y..Y.Y.Y.Y....Y....V..VV.AMKVKYVAMKMKAKAKABE.......................>

4.0	R	0	MISS	-
4.0	Y	6	HIT	-
4.0	V	0	HIT	-
4.0	A	15	HIT	-
4.0	M	3	MISS	-
4.0	K	16	HIT	-
4.0	B	2	MISS	-
4.0	E	0	HIT	-
4.0	R	0	HIT	-
4.1	Y	7	HIT	-
4.1	V	3	HIT	-
4.1	A	16	HIT	-
4.1	M	3	HIT	-
4.1	K	15	HIT	-
4.1	B	2	HIT	-
4.1	E	0	HIT	-
4.1	R	0	HIT	-
4.2	Y	7	HIT	-
4.2	V	2	HIT	-
4.2	A	16	HIT	-
4.2	M	3	HIT	-
4.2	K	16	HIT	-
4.2	B	2	HIT	-
4.2	E	4	MISS	-
4.2	R	2	MISS	-
4.3	Y	15	HIT	-
4.3	V	0	HIT	-
4.3	A	16	HIT	-
4.3	M	3	HIT	-
4.3	K	15	HIT	-
4.3	B	3	MISS	-
4.3	E	10	MISS	-
4.3	R	0	HIT	-
4.4	Y	7	HIT	-
4.4	V	2	HIT	-
4.4	A	0	HIT	-
4.4	M	4	HIT	-
4.4	K	14	MISS	-
4.4	B	2	HIT	-
4.4	E	9	MISS	-
4.4	R	4	MISS	-
4.5	Y	8	HIT	-
4.5	V	0	HIT	-
4.5	A	0	HIT	-
4.5	M	4	HIT	-
4.5	K	0	HIT	-
4.5	B	0	HIT	-
4.5	E	9	HIT	-
4.5	R	4	HIT	-
4.6	Y	8	HIT	-
4.6	V	4	HIT	-
4.6	A	0	HIT	-
4.6	M	4	HIT	-
4.6	K	1	HIT	-
4.6	B	10	MISS	-
4.6	E	9	HIT	-
4.6	R	0	HIT	-
4.7	Y	9	HIT	-
4.7	V	3	HIT	-
4.7	A	11	MISS	-
4.7	M	3	HIT	-
4.7	K	2	HIT	-
4.7	B	9	MISS	-
4.7	E	8	MISS	-
4.7	R	0	HIT	-
4.8	Y	9	HIT	-
4.8	V	3	HIT	-
4.8	A	10	MISS	-
4.8	M	2	MISS	-
4.8	K	6	MISS	-
4.8	B	9	HIT	-
4.8	E	7	MISS	-
4.8	R	0	HIT	-
4.9	Y	9	HIT	-
4.9	V	2	HIT	-
4.9	A	15	HIT	-
4.9	M	4	HIT	-
4.9	K	4	MISS	-
4.9	B	8	MISS	-
4.9	E	8	HIT	-
4.9	R	0	HIT	-
5.0	V	3	HIT	-
5.0	M	2	HIT	-
5.0	E	4	HIT	-

5.0	Y	Exit	17	5	<.Y.....Y.Y....Y..Y.Y.....Y.......Y..Y.Y.Y.Y....Y....V..VV.AMKVKYVAMKMKAKAKABERMBERBEKERBABEAMKEKB...>

5.0	A	Exit	17	2	<....................................................V..VV.AMKVK.VAMKMKAKAKABERMBERBEKERBABEAMKEKB...>

5.0	K	Exit	17	2	<....................................................V..VV..MKVK.V.MKMK.K.K.BERMBERBEKERB.BE.MKEKB...>

5.0	B	Exit	11	1	<....................................................V..VV..M.V..V.M.M......BERMBERBE.ERB.BE.M.E.B...>

5.0	R	Exit	5	1	<....................................................V..VV..M.V..V.M.M.......ERM.ER.E.ER...E.M.E.....>
5.1	V	1	HIT	-
5.1	M	0	HIT	-
5.1	E	4	HIT	-
5.2	V	1	HIT	-
5.2	M	0	HIT	-
5.2	E	2	MISS	-
5.3	V	2	HIT	-
5.3	M	1	HIT	-
5.3	E	0	HIT	-
5.4	V	4	HIT	-
5.4	M	3	HIT	-
5.4	E	0	HIT	-
5.5	V	0	HIT	-
5.5	M	3	HIT	-
5.5	E	10	HIT	-
5.6	V	0	HIT	-
5.6	M	2	HIT	-
5.6	E	9	HIT	-
5.7	V	1	HIT	-
5.7	M	4	HIT	-
5.7	E	7	HIT	-
5.8	V	3	HIT	-
5.8	M	0	HIT	-
5.8	E	10	HIT	-
5.9	V	1	HIT	-
5.9	M	0	HIT	-
5.9	E	10	HIT	-
6.0	M	4	HIT	-
6.0	E	9	HIT	-

6.0	V	Exit	5	5	<....................................................V..VV..M.V..V.M.M.......E.M.E..E.E....E.M.E..E..>
6.1	M	3	HIT	-
6.1	E	1	MISS	-
6.2	M	0	HIT	-
6.2	E	2	HIT	-
6.3	M	0	HIT	-
6.3	E	1	HIT	-
6.4	M	1	HIT	-
6.4	E	2	HIT	-
6.5	M	1	HIT	-
6.5	E	2	HIT	-
6.6	M	4	HIT	-
6.6	E	3	MISS	-
6.7	M	3	HIT	-
6.7	E	4	HIT	-
6.8	M	4	HIT	-
6.8	E	5	MISS	-
6.9	M	0	HIT	-
6.9	E	6	MISS	-
7.0	E	2	HIT	-

7.0	M	Exit	5	4	<...........................................................E......M.E.......E.M.E..E.E....E.M.E..EEE>
7.1	E	2	HIT	-
7.2	E	8	HIT	-
7.3	E	6	HIT	-
7.4	E	6	HIT	-
7.5	E	1	HIT	-
7.6	E	9	HIT	-
7.7	E	4	HIT	-
7.8	E	4	HIT	-
7.9	E	9	HIT	-

8.0	E	Exit	11	4	<...........................................................E........E.......E...E..E.E....E...E..EEE>

Simulation Results:
Total References: 333
Hits: 231, Misses: 102
Hit Ratio: 0.69, Miss Ratio: 0.31
Processes Swapped In: 13

Running MFU Algorithm Simulation
Time	Process	Page	Result	Evicted
----	-------	----	------	-------
0.0	W	Enter	11	3	<....................................................................................................>

0.0	W	0	MISS	-
0.0	Y	Enter	17	5	<W...................................................................................................>

0.0	Y	0	MISS	-
0.0	U	Enter	11	1	<WY..................................................................................................>

0.0	U	0	MISS	-
0.0	W	3	MISS	-
0.0	Y	8	MISS	-
0.0	U	4	MISS	-
0.1	W	2	MISS	-
0.1	Y	15	MISS	-
0.1	U	7	MISS	-
0.2	W	2	HIT	-
0.2	Y	16	MISS	-
0.2	U	6	MISS	-
0.3	W	1	MISS	-
0.3	Y	15	HIT	-
0.3	U	10	MISS	-
0.4	W	2	HIT	-
0.4	Y	16	HIT	-
0.4	U	0	HIT	-
0.5	W	3	HIT	-
0.5	Y	16	HIT	-
0.5	U	10	HIT	-
0.6	W	9	MISS	-
0.6	Y	15	HIT	-
0.6	U	8	MISS	-
0.7	W	8	MISS	-
0.7	Y	16	HIT	-
0.7	U	8	HIT	-
0.8	W	8	HIT	-
0.8	Y	15	HIT	-
0.8	U	10	HIT	-
0.9	W	7	MISS	-
0.9	Y	15	HIT	-
0.9	U	10	HIT	-
1.0	V	Enter	5	1	<WYUWYUWYUYUWUWUWW...................................................................................>

1.0	V	0	MISS	-
1.0	U	Enter	31	2	<WYUWYUWYUYUWUWUWWV..................................................................................>

1.0	U	0	HIT	-
1.0	V	Enter	5	5	<WYUWYUWYUYUWUWUWWV..................................................................................>

1.0	V	0	HIT	-
1.0	H	Enter	11	1	<WYUWYUWYUYUWUWUWWV..................................................................................>

1.0	H	0	MISS	-
1.0	W	8	HIT	-
1.0	Y	1	MISS	-
1.0	V	4	MISS	-
1.0	U	2	MISS	-
1.0	V	1	MISS	-
1.0	H	4	MISS	-

1.0	U	Exit	11	1	<WYUWYUWYUYUWUWUWWVHYVUVH............................................................................>
1.1	W	8	HIT	-
1.1	Y	3	MISS	-
1.1	V	3	MISS	-
1.1	U	10	MISS	-
1.1	V	4	HIT	-
1.1	H	4	HIT	-
1.2	W	7	HIT	-
1.2	Y	4	MISS	-
1.2	V	2	MISS	-
1.2	U	1	MISS	-
1.2	V	3	HIT	-
1.2	H	5	MISS	-
1.3	W	7	HIT	-
1.3	Y	5	MISS	-
1.3	V	0	HIT	-
1.3	U	0	MISS	-
1.3	V	3	HIT	-
1.3	H	6	MISS	-
1.4	W	6	MISS	-
1.4	Y	0	HIT	-
1.4	V	0	HIT	-
1.4	U	1	HIT	-
1.4	V	1	HIT	-
1.4	H	1	MISS	-
1.5	W	7	HIT	-
1.5	Y	0	HIT	-
1.5	V	4	HIT	-
1.5	U	2	MISS	-
1.5	V	2	HIT	-
1.5	H	1	HIT	-
1.6	W	7	HIT	-
1.6	Y	14	MISS	-
1.6	V	0	HIT	-
1.6	U	2	HIT	-
1.6	V	3	HIT	-
1.6	H	2	MISS	-
1.7	W	8	HIT	-
1.7	Y	14	HIT	-
1.7	V	3	HIT	-
1.7	U	18	MISS	-
1.7	V	0	HIT	-
1.7	H	3	MISS	-
1.8	W	0	HIT	-
1.8	Y	8	HIT	-
1.8	V	3	HIT	-
1.8	U	5	MISS	-
1.8	V	1	HIT	-
1.8	H	3	HIT	-
1.9	W	10	MISS	-
1.9	Y	8	HIT	-
1.9	V	3	HIT	-
1.9	U	9	MISS	-
1.9	V	1	HIT	-
1.9	H	3	HIT	-
2.0	W	4	MISS	-
2.0	Y	8	HIT	-
2.0	U	8	MISS	-
2.0	V	0	HIT	-

2.0	V	Exit	5	1	<WY.WY.WY.Y.W.W.WWVHYV.VHYVUYVUHYUHWHUYHUHUWUWU......................................................>

2.0	H	Exit	11	1	<WY.WY.WY.Y.W.W.WW.HY...HY.UY.UHYUHWHUYHUHUWUWU......................................................>
2.1	W	3	HIT	-
2.1	Y	8	HIT	-
2.1	U	9	HIT	-
2.1	V	2	MISS	-
2.2	W	9	HIT	-
2.2	Y	14	HIT	-
2.2	U	10	HIT	-
2.2	V	0	MISS	-
2.3	W	9	HIT	-
2.3	Y	14	HIT	-
2.3	U	9	HIT	-
2.3	V	0	HIT	-
2.4	W	10	HIT	-
2.4	Y	15	HIT	-
2.4	U	9	HIT	-
2.4	V	4	MISS	-
2.5	W	3	HIT	-
2.5	Y	6	MISS	-
2.5	U	7	MISS	-
2.5	V	4	HIT	-
2.6	W	3	HIT	-
2.6	Y	14	HIT	-
2.6	U	19	MISS	-
2.6	V	0	HIT	-
2.7	W	5	MISS	-
2.7	Y	13	MISS	-
2.7	U	19	HIT	-
2.7	V	2	HIT	-
2.8	W	6	HIT	-
2.8	Y	5	HIT	-
2.8	U	20	MISS	-
2.8	V	1	MISS	-
2.9	W	6	HIT	-
2.9	Y	6	HIT	-
2.9	U	25	MISS	-
2.9	V	1	HIT	-
3.0	A	Enter	17	2	<WY.WY.WY.Y.W.W.WW..Y....Y.UY.U.YU.W.UY.U.UWUWUVVVYUUWYUVU...........................................>

3.0	A	0	MISS	-
3.0	M	Enter	5	4	<WY.WY.WY.Y.W.W.WW..Y....Y.UY.U.YU.W.UY.U.UWUWUVVVYUUWYUVUA..........................................>

3.0	M	0	MISS	-
3.0	K	Enter	17	2	<WY.WY.WY.Y.W.W.WW..Y....Y.UY.U.YU.W.UY.U.UWUWUVVVYUUWYUVUAM.........................................>

3.0	K	0	MISS	-
3.0	Y	7	MISS	-
3.0	V	4	HIT	-
3.0	A	3	MISS	-
3.0	M	0	HIT	-
3.0	K	3	MISS	-

3.0	W	Exit	11	3	<WY.WY.WY.Y.W.W.WW..Y....Y.UY.U.YU.W.UY.U.UWUWUVVVYUUWYUVUAMKYAK.....................................>

3.0	U	Exit	31	2	<.Y..Y..Y.Y.........Y....Y.UY.U.YU...UY.U.U.U.UVVVYUU.YUVUAMKYAK.....................................>
3.1	Y	2	MISS	-
3.1	V	1	HIT	-
3.1	A	4	MISS	-
3.1	M	0	HIT	-
3.1	K	4	MISS	-
3.2	Y	3	HIT	-
3.2	V	0	HIT	-
3.2	A	4	HIT	-
3.2	M	4	MISS	-
3.2	K	5	MISS	-
3.3	Y	0	HIT	-
3.3	V	1	HIT	-
3.3	A	3	HIT	-
3.3	M	0	HIT	-
3.3	K	11	MISS	-
3.4	Y	16	HIT	-
3.4	V	0	HIT	-
3.4	A	2	MISS	-
3.4	M	3	MISS	-
3.4	K	12	MISS	-
3.5	Y	7	HIT	-
3.5	V	2	HIT	-
3.5	A	1	MISS	-
3.5	M	2	MISS	-
3.5	K	13	MISS	-
3.6	Y	15	HIT	-
3.6	V	1	HIT	-
3.6	A	9	MISS	-
3.6	M	2	HIT	-
3.6	K	13	HIT	-
3.7	Y	14	HIT	-
3.7	V	0	HIT	-
3.7	A	10	MISS	-
3.7	M	0	HIT	-
3.7	K	15	MISS	-
3.8	Y	13	HIT	-
3.8	V	1	HIT	-
3.8	A	10	HIT	-
3.8	M	1	MISS	-
3.8	K	16	MISS	-
3.9	Y	13	HIT	-
3.9	V	0	HIT	-
3.9	A	9	HIT	-
3.9	M	2	HIT	-
3.9	K	15	HIT	-
4.0	B	Enter	11	1	<.Y..Y..Y.Y.........Y....Y..Y...Y.....Y........VVVY...Y.V.AMKYAKYAKMKKAMKAMKAAKMK....................>

4.0	B	0	MISS	-
4.0	E	Enter	11	4	<.Y..Y..Y.Y.........Y....Y..Y...Y.....Y........VVVY...Y.V.AMKYAKYAKMKKAMKAMKAAKMKB...................>

4.0	E	0	MISS	-
4.0	R	Enter	5	1	<.Y..Y..Y.Y.........Y....Y..Y...Y.....Y........VVVY...Y.V.AMKYAKYAKMKKAMKAMKAAKMKBE..................>

4.0	R	0	MISS	-
4.0	Y	12	MISS	-
4.0	V	1	HIT	-
4.0	A	8	MISS	-
4.0	M	1	HIT	-
4.0	K	15	HIT	-
4.0	B	10	MISS	-
4.0	E	9	MISS	-
4.0	R	2	MISS	-
4.1	Y	13	HIT	-
4.1	V	1	HIT	-
4.1	A	8	HIT	-
4.1	M	0	HIT	-
4.1	K	14	MISS	-
4.1	B	9	MISS	-
4.1	E	8	MISS	-
4.1	R	2	HIT	-
4.2	Y	6	HIT	-
4.2	V	0	HIT	-
4.2	A	8	HIT	-
4.2	M	4	HIT	-
4.2	K	13	HIT	-
4.2	B	10	HIT	-
4.2	E	10	MISS	-
4.2	R	2	HIT	-
4.3	Y	5	HIT	-
4.3	V	1	HIT	-
4.3	A	9	HIT	-
4.3	M	4	HIT	-
4.3	K	13	HIT	-
4.3	B	10	HIT	-
4.3	E	0	HIT	-
4.3	R	3	MISS	-
4.4	Y	2	HIT	-
4.4	V	0	HIT	-
4.4	A	8	HIT	-
4.4	M	2	HIT	-
4.4	K	13	HIT	-
4.4	B	7	MISS	-
4.4	E	10	HIT	-
4.4	R	3	HIT	-
4.5	Y	1	HIT	-
4.5	V	0	HIT	-
4.5	A	4	HIT	-
4.5	M	1	HIT	-
4.5	K	12	HIT	-
4.5	B	6	MISS	-
4.5	E	9	HIT	-
4.5	R	1	MISS	-
4.6	Y	6	HIT	-
4.6	V	4	HIT	-
4.6	A	1	HIT	-
4.6	M	1	HIT	-
4.6	K	13	HIT	-
4.6	B	5	MISS	-
4.6	E	2	MISS	-
4.6	R	0	HIT	-
4.7	Y	15	HIT	-
4.7	V	3	MISS	-
4.7	A	1	HIT	-
4.7	M	3	HIT	-
4.7	K	16	HIT	-
4.7	B	6	HIT	-
4.7	E	2	HIT	-
4.7	R	1	HIT	-
4.8	Y	15	HIT	-
4.8	V	3	HIT	-
4.8	A	2	HIT	-
4.8	M	4	HIT	-
4.8	K	0	HIT	-
4.8	B	7	HIT	-
4.8	E	2	HIT	-
4.8	R	4	MISS	-
4.9	Y	4	HIT	-
4.9	V	0	HIT	-
4.9	A	11	MISS	-
4.9	M	3	HIT	-
4.9	K	11	HIT	-
4.9	B	4	MISS	-
4.9	E	2	HIT	-
4.9	R	3	HIT	-
5.0	V	0	MISS	-
5.0	M	1	HIT	-
5.0	E	2	HIT	-

5.0	Y	Exit	17	5	<.Y..Y..B.Y.........Y....Y..Y...Y.....Y........VAVY...Y.V.AMKYAKYAKMKKAMKAMKAAKMKBERYABERKBEERBBRBEVR>

5.0	A	Exit	17	2	<.......B......................................VAV......V.AMK.AK.AKMKKAMKAMKAAKMKBER.ABERKBEERBBRBEVR>

5.0	K	Exit	17	2	<.......B......................................V.V......V..MK..K..KMKK.MK.MK..KMKBER..BERKBEERBBRBEVR>

5.0	B	Exit	11	1	<.......B......................................V.V......V..M.......M...M..M....M.BER..BER.BEERBBRBEVR>

5.0	R	Exit	5	1	<..............................................V.V......V..M.......M...M..M....M..ER...ER..EER..R.EVR>
5.1	V	1	MISS	-
5.1	M	1	HIT	-
5.1	E	8	HIT	-
5.2	V	1	HIT	-
5.2	M	4	HIT	-
5.2	E	6	MISS	-
5.3	V	0	HIT	-
5.3	M	1	MISS	-
5.3	E	5	MISS	-
5.4	V	1	HIT	-
5.4	M	1	HIT	-
5.4	E	3	MISS	-
5.5	V	2	HIT	-
5.5	M	0	MISS	-
5.5	E	2	MISS	-
5.6	V	3	HIT	-
5.6	M	2	MISS	-
5.6	E	3	HIT	-
5.7	V	2	MISS	-
5.7	M	1	HIT	-
5.7	E	3	HIT	-
5.8	V	0	HIT	-
5.8	M	4	MISS	-
5.8	E	3	MISS	-
5.9	V	0	MISS	-
5.9	M	4	HIT	-
5.9	E	3	HIT	-
6.0	M	1	MISS	-
6.0	E	4	MISS	-

6.0	V	Exit	5	5	<..............................................M.E......E..M.......V...V..E....E..E....E...EE.....EM.>
6.1	M	2	HIT	-
6.1	E	3	HIT	-
6.2	M	3	MISS	-
6.2	E	4	HIT	-
6.3	M	0	HIT	-
6.3	E	6	HIT	-
6.4	M	0	HIT	-
6.4	E	5	HIT	-
6.5	M	4	MISS	-
6.5	E	8	HIT	-
6.6	M	1	HIT	-
6.6	E	9	HIT	-
6.7	M	4	HIT	-
6.7	E	6	HIT	-
6.8	M	3	HIT	-
6.8	E	10	HIT	-
6.9	M	0	MISS	-
6.9	E	9	HIT	-
7.0	E	8	HIT	-

7.0	M	Exit	5	4	<..............................................M.E......M..M..............E....M..E....E...EE.....EM.>
7.1	E	8	HIT	-
7.2	E	8	HIT	-
7.3	E	2	HIT	-
7.4	E	2	HIT	-
7.5	E	6	MISS	-
7.6	E	0	HIT	-
7.7	E	2	HIT	-
7.8	E	3	MISS	-
7.9	E	3	HIT	-

8.0	E	Exit	11	4	<................................................E........................E.......E....E...EE.....E..>

Simulation Results:
Total References: 333
Hits: 211, Misses: 122
Hit Ratio: 0.63, Miss Ratio: 0.37
Processes Swapped In: 13

Running MFU Algorithm Simulation
Time	Process	Page	Result	Evicted
----	-------	----	------	-------
0.0	W	Enter	11	3	<....................................................................................................>

0.0	W	0	MISS	-
0.0	Y	Enter	17	5	<W...................................................................................................>

0.0	Y	0	MISS	-
0.0	U	Enter	11	1	<WY..................................................................................................>

0.0	U	0	MISS	-
0.0	W	6	MISS	-
0.0	Y	5	MISS	-
0.0	U	9	MISS	-
0.1	W	2	MISS	-
0.1	Y	1	MISS	-
0.1	U	2	MISS	-
0.2	W	2	HIT	-
0.2	Y	3	MISS	-
0.2	U	2	HIT	-
0.3	W	3	MISS	-
0.3	Y	3	HIT	-
0.3	U	9	HIT	-
0.4	W	6	HIT	-
0.4	Y	4	MISS	-
0.4	U	6	MISS	-
0.5	W	5	MISS	-
0.5	Y	5	HIT	-
0.5	U	5	MISS	-
0.6	W	0	HIT	-
0.6	Y	4	HIT	-
0.6	U	5	HIT	-
0.7	W	10	MISS	-
0.7	Y	4	HIT	-
0.7	U	9	HIT	-
0.8	W	0	HIT	-
0.8	Y	4	HIT	-
0.8	U	9	HIT	-
0.9	W	10	HIT	-
0.9	Y	11	MISS	-
0.9	U	10	MISS	-
1.0	V	Enter	5	1	<WYUWYUWYUYWYUWUWYU..................................................................................>

1.0	V	0	MISS	-
1.0	U	Enter	31	2	<WYUWYUWYUYWYUWUWYUV.................................................................................>

1.0	U	0	HIT	-
1.0	V	Enter	5	5	<WYUWYUWYUYWYUWUWYUV.................................................................................>

1.0	V	0	HIT	-
1.0	H	Enter	11	1	<WYUWYUWYUYWYUWUWYUV.................................................................................>

1.0	H	0	MISS	-
1.0	W	2	HIT	-
1.0	Y	11	HIT	-
1.0	V	4	MISS	-
1.0	U	25	MISS	-
1.0	V	0	HIT	-
1.0	H	4	MISS	-

1.0	U	Exit	11	1	<WYUWYUWYUYWYUWUWYUVHVUH.............................................................................>
1.1	W	2	HIT	-
1.1	Y	11	HIT	-
1.1	V	4	HIT	-
1.1	U	29	MISS	-
1.1	V	3	MISS	-
1.1	H	5	MISS	-
1.2	W	8	MISS	-
1.2	Y	12	MISS	-
1.2	V	4	HIT	-
1.2	U	30	MISS	-
1.2	V	1	MISS	-
1.2	H	5	HIT	-
1.3	W	7	MISS	-
